Epoch 01 | Train Loss: 0.5321 | Val Loss: 0.4713 | Val Dice: 0.0000 | Val IoU: 0.0000 | Learning Rate: 0.001
Epoch 02 | Train Loss: 0.4204 | Val Loss: 0.4165 | Val Dice: 0.0000 | Val IoU: 0.0000 | Learning Rate: 0.001
Epoch 03 | Train Loss: 0.3674 | Val Loss: 0.3609 | Val Dice: 0.0000 | Val IoU: 0.0000 | Learning Rate: 0.001
Epoch 04 | Train Loss: 0.3388 | Val Loss: 0.3020 | Val Dice: 0.0000 | Val IoU: 0.0000 | Learning Rate: 0.001
Epoch 05 | Train Loss: 0.2983 | Val Loss: 0.3173 | Val Dice: 0.6439 | Val IoU: 0.4993 | Learning Rate: 0.001
Epoch 06 | Train Loss: 0.2750 | Val Loss: 0.2472 | Val Dice: 0.4299 | Val IoU: 0.2868 | Learning Rate: 0.001
Epoch 07 | Train Loss: 0.2615 | Val Loss: 0.2312 | Val Dice: 0.0597 | Val IoU: 0.0318 | Learning Rate: 0.001
Epoch 08 | Train Loss: 0.2392 | Val Loss: 0.2469 | Val Dice: 0.6391 | Val IoU: 0.4862 | Learning Rate: 0.001
Epoch 09 | Train Loss: 0.2347 | Val Loss: 0.2274 | Val Dice: 0.2553 | Val IoU: 0.1543 | Learning Rate: 0.001
Epoch 10 | Train Loss: 0.2201 | Val Loss: 0.1797 | Val Dice: 0.5141 | Val IoU: 0.3804 | Learning Rate: 0.001
Epoch 11 | Train Loss: 0.2013 | Val Loss: 0.2238 | Val Dice: 0.6678 | Val IoU: 0.5094 | Learning Rate: 0.001
Epoch 12 | Train Loss: 0.1994 | Val Loss: 0.1750 | Val Dice: 0.5826 | Val IoU: 0.4414 | Learning Rate: 0.001
Epoch 13 | Train Loss: 0.1881 | Val Loss: 0.1662 | Val Dice: 0.5770 | Val IoU: 0.4504 | Learning Rate: 0.001
Epoch 14 | Train Loss: 0.1856 | Val Loss: 0.1647 | Val Dice: 0.7021 | Val IoU: 0.5708 | Learning Rate: 0.001
Epoch 15 | Train Loss: 0.1808 | Val Loss: 0.1923 | Val Dice: 0.7229 | Val IoU: 0.5774 | Learning Rate: 0.001
Epoch 16 | Train Loss: 0.1713 | Val Loss: 0.1386 | Val Dice: 0.7091 | Val IoU: 0.5755 | Learning Rate: 0.001
Epoch 17 | Train Loss: 0.1685 | Val Loss: 0.1505 | Val Dice: 0.4623 | Val IoU: 0.3147 | Learning Rate: 0.001
Epoch 18 | Train Loss: 0.1741 | Val Loss: 0.1460 | Val Dice: 0.5734 | Val IoU: 0.4415 | Learning Rate: 0.001
Epoch 19 | Train Loss: 0.1641 | Val Loss: 0.1278 | Val Dice: 0.6951 | Val IoU: 0.5571 | Learning Rate: 0.001
Epoch 20 | Train Loss: 0.1654 | Val Loss: 0.1326 | Val Dice: 0.7273 | Val IoU: 0.5947 | Learning Rate: 0.001
Epoch 21 | Train Loss: 0.1588 | Val Loss: 0.1199 | Val Dice: 0.7055 | Val IoU: 0.5720 | Learning Rate: 0.001
Epoch 22 | Train Loss: 0.1628 | Val Loss: 0.1426 | Val Dice: 0.7501 | Val IoU: 0.6193 | Learning Rate: 0.001
Epoch 23 | Train Loss: 0.1594 | Val Loss: 0.2627 | Val Dice: 0.6615 | Val IoU: 0.5020 | Learning Rate: 0.001
Epoch 24 | Train Loss: 0.1571 | Val Loss: 0.1618 | Val Dice: 0.5066 | Val IoU: 0.3533 | Learning Rate: 0.001
Epoch 25 | Train Loss: 0.1536 | Val Loss: 0.1116 | Val Dice: 0.6722 | Val IoU: 0.5380 | Learning Rate: 0.001
Epoch 26 | Train Loss: 0.1528 | Val Loss: 0.1067 | Val Dice: 0.7120 | Val IoU: 0.5774 | Learning Rate: 0.001
Epoch 27 | Train Loss: 0.1360 | Val Loss: 0.1589 | Val Dice: 0.7810 | Val IoU: 0.6524 | Learning Rate: 0.001
Epoch 28 | Train Loss: 0.1642 | Val Loss: 0.1320 | Val Dice: 0.7372 | Val IoU: 0.6129 | Learning Rate: 0.001
Epoch 29 | Train Loss: 0.1477 | Val Loss: 0.1077 | Val Dice: 0.7708 | Val IoU: 0.6435 | Learning Rate: 0.001
Epoch 30 | Train Loss: 0.1523 | Val Loss: 0.1154 | Val Dice: 0.7129 | Val IoU: 0.5792 | Learning Rate: 0.001
Epoch 31 | Train Loss: 0.1337 | Val Loss: 0.1651 | Val Dice: 0.5927 | Val IoU: 0.4365 | Learning Rate: 0.001
Epoch 32 | Train Loss: 0.1383 | Val Loss: 0.1173 | Val Dice: 0.5513 | Val IoU: 0.4180 | Learning Rate: 0.001
Epoch 33 | Train Loss: 0.1211 | Val Loss: 0.0862 | Val Dice: 0.7342 | Val IoU: 0.6107 | Learning Rate: 0.001
Epoch 34 | Train Loss: 0.1276 | Val Loss: 0.0913 | Val Dice: 0.7789 | Val IoU: 0.6628 | Learning Rate: 0.001
Epoch 35 | Train Loss: 0.1286 | Val Loss: 0.1157 | Val Dice: 0.7747 | Val IoU: 0.6558 | Learning Rate: 0.001
Epoch 36 | Train Loss: 0.1167 | Val Loss: 0.1004 | Val Dice: 0.6438 | Val IoU: 0.4984 | Learning Rate: 0.001
Epoch 37 | Train Loss: 0.1064 | Val Loss: 0.1060 | Val Dice: 0.8601 | Val IoU: 0.7580 | Learning Rate: 0.001
Epoch 38 | Train Loss: 0.0983 | Val Loss: 0.0932 | Val Dice: 0.6827 | Val IoU: 0.5249 | Learning Rate: 0.001
Epoch 39 | Train Loss: 0.1097 | Val Loss: 0.0789 | Val Dice: 0.6981 | Val IoU: 0.5602 | Learning Rate: 0.001
Epoch 40 | Train Loss: 0.1014 | Val Loss: 0.0939 | Val Dice: 0.8050 | Val IoU: 0.6804 | Learning Rate: 0.001
Epoch 41 | Train Loss: 0.1108 | Val Loss: 0.1836 | Val Dice: 0.4079 | Val IoU: 0.2893 | Learning Rate: 0.001
Epoch 42 | Train Loss: 0.0998 | Val Loss: 0.0866 | Val Dice: 0.7159 | Val IoU: 0.5764 | Learning Rate: 0.001
Epoch 43 | Train Loss: 0.0958 | Val Loss: 0.0736 | Val Dice: 0.8611 | Val IoU: 0.7600 | Learning Rate: 0.001
Epoch 44 | Train Loss: 0.0989 | Val Loss: 0.0822 | Val Dice: 0.8843 | Val IoU: 0.7940 | Learning Rate: 0.001
Epoch 45 | Train Loss: 0.0942 | Val Loss: 0.0625 | Val Dice: 0.8805 | Val IoU: 0.7890 | Learning Rate: 0.001
Epoch 46 | Train Loss: 0.0883 | Val Loss: 0.0580 | Val Dice: 0.9060 | Val IoU: 0.8295 | Learning Rate: 0.001
Epoch 47 | Train Loss: 0.0889 | Val Loss: 0.0627 | Val Dice: 0.8329 | Val IoU: 0.7142 | Learning Rate: 0.001
Epoch 48 | Train Loss: 0.0760 | Val Loss: 0.0594 | Val Dice: 0.8264 | Val IoU: 0.7091 | Learning Rate: 0.001
Epoch 49 | Train Loss: 0.0844 | Val Loss: 0.1419 | Val Dice: 0.8266 | Val IoU: 0.7104 | Learning Rate: 0.001
Epoch 50 | Train Loss: 0.0842 | Val Loss: 0.0720 | Val Dice: 0.7192 | Val IoU: 0.5889 | Learning Rate: 0.001
Epoch 51 | Train Loss: 0.0811 | Val Loss: 0.0865 | Val Dice: 0.8995 | Val IoU: 0.8185 | Learning Rate: 0.001
Epoch 52 | Train Loss: 0.0723 | Val Loss: 0.0585 | Val Dice: 0.8515 | Val IoU: 0.7510 | Learning Rate: 0.001
Epoch 53 | Train Loss: 0.0737 | Val Loss: 0.0656 | Val Dice: 0.8238 | Val IoU: 0.7209 | Learning Rate: 0.001
Epoch 54 | Train Loss: 0.0799 | Val Loss: 0.0686 | Val Dice: 0.7507 | Val IoU: 0.6099 | Learning Rate: 0.001
Epoch 55 | Train Loss: 0.0667 | Val Loss: 0.0541 | Val Dice: 0.8883 | Val IoU: 0.8019 | Learning Rate: 0.001
Epoch 56 | Train Loss: 0.0669 | Val Loss: 0.0461 | Val Dice: 0.9270 | Val IoU: 0.8648 | Learning Rate: 0.001
Epoch 57 | Train Loss: 0.0759 | Val Loss: 0.0762 | Val Dice: 0.8343 | Val IoU: 0.7183 | Learning Rate: 0.001
